X (ft),Y (ft),U_ave (fps),Depth (ft)
94.0474334,581.4282837,0.342111319,0.570785224
151.7034389,579.0870972,1.283697367,2.90482378
176.8738345,578.0805664,1.682177186,3.910422325
199.1834611,577.2233887,2.73577857,4.764877319
221.3932894,576.37146,3.083973885,5.611039639
243.5056422,575.5269165,3.415250063,6.453371048
265.5227708,574.7654419,3.761946678,7.209496498
287.4468577,573.5386353,4.167479038,8.433467865
309.2800193,570.8768311,4.605151653,11.08922195
314.5264243,569.8045654,4.713514805,12.16034412
336.7643998,566.3394165,5.169059277,15.62795544
358.9063481,563.6812134,5.611824036,18.28636169
380.9544446,559.4663696,5.946872234,22.49951744
402.9107995,555.3637695,6.165464878,26.60338402
424.7774602,553.6303711,6.30017519,28.33731461
446.5564139,552.8032227,6.377401829,29.16423798
468.2495891,551.7124634,6.400345325,30.25448608
489.8588585,551.105957,6.373627663,30.86022568
511.3860406,551.0339966,6.308138371,30.93055725
532.8329015,551.6370239,6.217339039,30.32527924
554.2011574,551.9243774,6.119533062,30.03444862
575.4924756,552.4494629,6.077455997,29.50450897
596.7084767,553.7454224,5.940074444,28.20366287
608.1122487,553.8049927,5.821994781,28.14486694
629.6570804,555.4667358,5.559555054,26.47424698
651.122774,558.9872437,5.094567776,22.94037437
672.5109901,561.638916,4.388371944,20.27077293
693.8233436,564.4373169,3.195491791,17.45730972
715.0614043,571.3275757,1.593472719,10.56277943
