x_m,y_m,Vel_m,Depth_m
0.000048,0,4.81E-17,0.140520304
0.044478542,0,0.429767758,0.141417056
0.088909083,0,0.463592201,0.143004552
0.133339625,0,0.489368588,0.144299984
0.177770167,0,0.507150173,0.145486176
0.222200708,0,0.518602073,0.146571279
0.26663125,0,0.525148511,0.147539154
0.311061792,0,0.527915835,0.148393989
0.355492333,0,0.527821541,0.149148315
0.399922875,0,0.525611222,0.149815217
0.444353417,0,0.521874666,0.150407106
0.488783958,0,0.517065704,0.150935382
0.5332145,0,0.511526167,0.151410222
0.577645042,0,0.505511165,0.151840419
0.622075583,0,0.499209642,0.152233511
0.666506125,0,0.492759168,0.152595773
0.710936667,0,0.48626852,0.152932554
0.755367208,0,0.479832351,0.153248414
0.79979775,0,0.473538786,0.153547078
0.844228292,0,0.467509985,0.153831556
0.888658833,0,0.461896628,0.154104456
0.933089375,0,0.456772178,0.154367521
0.977519917,0,0.451827168,0.154615045
1.021950458,0,0.445910782,0.154865652
1.066381,0,1.18E-15,0.155000806
